총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,집객시설_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,주중_매출_건수,주말_매출_건수,남성_매출_금액,남성_매출_건수,여성_매출_금액,여성_매출_건수,점포수,상권_변화_지표_HH,상권_변화_지표_HL,상권_변화_지표_LH,상권_변화_지표_LL,임대료,공실률
478882,243693,235189,24111,83630,112851,109472,97958,50859,3743,1935,1808,110,838,1003,852,843,97,58,417,572,426,417,45,52,421,431,426,426,52,1261,630,631,20,249,290,321,234,147,9,53,154,194,133,87,11,196,136,127,101,60,94,42,94,46,13,7344271060,392551,5488856910,1855414150,285521,107030,3330347872,215844,3451868751,161208,219,0,0,0,1,50.2,7.2
186785,94622,92167,9245,36118,43475,41309,37518,19119,2009,1040,969,45,453,546,465,458,42,24,226,313,232,226,19,21,227,233,233,232,23,83,40,43,0,10,18,23,22,10,0,2,7,13,11,7,0,8,11,10,11,3,103,46,94,46,1,4902911954,220535,3333650708,1569261246,147466,73069,2060228749,95022,2397419996,111969,141,1,0,0,0,50.2,7.2
126384,64663,61719,3847,22749,30591,29352,27197,12649,1686,886,800,25,381,485,390,385,20,14,190,288,195,190,9,11,191,197,195,195,11,372,222,150,0,21,86,85,103,77,0,6,43,55,60,58,0,15,43,30,43,19,101,46,94,46,13,7329890101,275046,5467408349,1862481752,211554,63492,2666463379,114308,4238326482,148286,117,1,0,0,0,50.2,7.2
113016,58051,54966,6189,29025,23497,20630,18726,14949,390,193,197,9,168,118,51,37,7,5,78,63,29,15,3,4,90,55,22,22,4,135,45,90,1,28,39,31,24,12,0,6,15,12,7,5,1,22,24,19,17,7,103,51,94,46,9,4457426981,227124,3321924076,1135502905,159952,67172,1627735269,93074,2610198285,126776,144,1,0,0,0,49.6,3.1
322418,160704,161713,17740,80916,68853,59469,52914,42528,490,237,253,8,173,154,91,64,0,4,81,77,51,24,0,4,92,77,40,40,0,310,144,166,1,55,87,80,62,25,0,32,44,34,25,9,1,23,43,46,37,16,89,42,94,46,9,20405986787,1365897,14929715822,5476270965,1005619,360278,9177612109,619366,9033499551,674582,277,0,0,0,1,49.6,3.1
55053,28910,26141,2391,15013,12174,10192,9089,6196,733,353,380,28,256,216,125,90,18,14,120,108,69,34,8,14,136,108,56,56,10,255,158,97,0,73,86,52,38,6,0,26,48,43,35,6,0,47,38,9,3,0,83,41,94,46,1,6955001973,370890,5212502663,1742499310,262464,108426,3578515383,210037,2277489208,143327,98,0,0,0,1,49.6,3.1
263813,136577,127237,20890,99237,48287,42877,33141,19384,625,340,285,13,256,122,110,108,16,6,128,91,56,54,5,7,128,31,54,54,11,7,2,5,0,2,3,1,1,0,0,0,0,1,1,0,0,2,3,0,0,0,93,48,94,46,8,9811295876,831234,7073004920,2738290956,603413,227821,5112993657,439840,4263516847,377415,273,0,0,1,0,49.6,3.1
681577,338287,343294,46813,203674,140929,126565,102931,60670,700,387,313,6,376,136,91,82,9,3,189,106,47,38,4,3,187,30,44,44,5,176,92,84,0,42,47,46,25,16,0,14,26,27,15,10,0,28,21,19,10,6,99,54,94,46,14,8506592619,506251,6022848584,2483744035,360233,146018,4054040848,278531,3895785272,216261,179,1,0,0,0,49.6,3.1
109280,56532,52747,6009,46242,20906,18120,13620,4381,744,411,333,9,348,153,114,109,11,5,175,115,58,53,5,4,173,38,56,56,6,1329,845,484,0,109,358,416,359,87,0,42,179,280,270,74,0,67,179,136,89,13,93,55,94,46,3,3483374937,611362,2614536034,868838903,453636,157726,1946446806,367107,1309753802,237186,60,0,0,1,0,49.6,3.1
307270,155497,151772,9339,49818,69729,74247,68428,35707,262,155,107,0,170,57,21,14,0,0,85,51,13,6,0,0,85,6,8,8,0,16,0,16,0,1,1,10,4,0,0,0,0,0,0,0,0,1,1,10,4,0,124,61,94,46,2,157999755,8657,106567947,51431808,5660,2997,63668072,3926,73395304,4182,29,1,0,0,0,49.6,3.1
224612,125048,99562,3856,25382,63378,66320,50258,15414,998,484,514,68,177,254,254,178,67,34,88,127,127,89,19,34,89,127,127,89,48,1239,652,587,3,264,368,308,200,96,1,83,190,192,131,55,2,181,178,116,69,41,110,50,94,46,11,4927749249,225202,3991800643,935948606,168172,57030,2126545950,112144,1577864963,92624,112,1,0,0,0,37.2,4.8
473177,257266,215913,16552,57893,121583,134933,100441,41780,2066,1010,1056,121,374,546,544,376,105,64,187,273,272,188,26,57,187,273,272,188,79,1166,488,678,25,509,300,165,99,68,9,192,151,55,46,35,16,317,149,110,53,33,109,47,94,46,6,5256845735,220489,4200584607,1056261128,166172,54317,2543753573,130691,1376619062,62795,122,1,0,0,0,37.2,4.8
282240,141021,141219,13445,37705,59360,79095,61841,30793,2642,1270,1372,200,459,667,657,473,186,104,229,335,325,231,46,96,230,332,332,242,140,99,53,46,0,17,33,39,5,5,0,9,17,24,1,2,0,8,16,15,4,3,119,52,94,46,5,1836993739,151282,1320283255,516710484,105423,45859,937187480,85755,682656592,57384,59,1,0,0,0,37.2,4.8
1045895,630318,415576,12983,143973,305199,303693,190686,89362,1478,692,786,240,188,238,257,236,319,122,86,111,123,112,138,118,102,127,134,124,181,51504,32594,18910,214,8205,17844,15368,7411,2462,63,3133,10584,11750,5445,1619,151,5072,7260,3618,1966,843,114,51,94,46,80,51212229964,2333418,44141187288,7071042676,1956818,376600,19344795105,1003972,14930419224,967990,954,1,0,0,0,69.8,1.3
147162,78548,68613,8986,21172,35668,38055,28493,14785,150,60,90,5,13,36,64,29,3,3,4,11,27,15,0,2,9,25,37,14,3,472,278,194,3,81,139,140,72,37,2,34,83,91,38,30,1,47,56,49,34,7,94,50,94,46,17,8335246080,408577,5604621162,2730624918,285084,123493,2992452489,160289,3656379562,207413,162,0,0,1,0,69.8,1.3
267408,150882,116525,11161,37963,65948,71839,53068,27426,166,71,95,1,15,43,52,51,4,0,2,17,26,25,1,1,13,26,26,26,3,214,90,124,0,53,47,47,46,21,0,19,21,22,19,9,0,34,26,25,27,12,94,55,94,46,17,15690875177,751027,11271485994,4419389183,537680,213347,7329827777,355476,5653245141,333570,189,1,0,0,0,69.8,1.3
313373,154566,158803,19514,38360,67429,76237,77125,34710,2696,1248,1448,117,660,874,503,494,48,62,239,437,249,240,21,55,421,437,254,254,27,524,237,287,2,65,128,157,122,50,0,21,59,76,55,26,2,44,69,81,67,24,100,46,94,46,21,5827463548,434985,4261680355,1565783193,320713,114272,2800176056,221734,2731834474,204612,141,0,1,0,0,38.5,8.9
184053,90089,93961,6710,29828,48717,43115,37997,17688,2454,1058,1396,8,951,1103,140,237,15,4,404,551,60,36,3,4,547,552,80,201,12,707,425,282,2,106,160,180,149,110,1,39,81,113,99,92,1,67,79,67,50,18,82,50,94,46,3,4496484898,192860,3320785746,1175699152,135478,57382,1885588299,94358,2209886306,88017,108,0,0,1,0,38.5,8.9
209504,101892,107611,10133,20375,46526,55961,57392,19123,3444,1639,1805,157,808,1035,707,690,47,87,321,524,353,335,19,70,487,511,354,355,28,150,69,81,0,19,34,50,36,11,0,5,13,26,17,8,0,14,21,24,19,3,87,44,94,46,28,7055292594,231629,5521700262,1533592332,178565,53064,3160439377,110677,3253270811,109405,168,0,0,0,1,38.5,8.9
389427,200340,189085,11465,59690,94664,91388,87502,44715,2792,1323,1469,170,664,812,547,542,57,89,266,406,272,266,24,81,398,406,275,276,33,1371,820,551,7,172,355,392,326,119,4,59,199,243,225,90,3,113,156,149,101,29,80,39,94,46,32,14816380477,637833,11901624190,2914756287,496453,141380,5764477470,276308,7977017455,322275,359,0,0,0,1,38.5,8.9
212041,102022,110018,12817,26290,44937,49674,50670,27652,1820,829,991,111,445,601,309,307,47,57,149,300,152,149,22,54,296,301,157,158,25,363,154,209,0,62,85,109,86,21,0,9,38,53,40,14,0,53,47,56,46,7,103,48,94,46,25,8169097383,286223,5764933604,2404163779,209509,76714,3679748613,128418,3927665015,147275,135,1,0,0,0,38.5,8.9
197626,112136,85493,6693,47049,44810,40632,37405,21037,502,248,254,40,147,119,76,74,46,20,68,62,40,36,22,20,79,57,36,38,24,99,63,36,1,16,37,20,18,7,0,6,27,14,9,7,1,10,10,6,9,0,86,47,94,46,9,8046899837,432637,5314708928,2732190909,298527,134110,4283179328,236560,3170402106,177907,190,0,0,1,0,38.5,8.9
634169,339772,294396,18967,96540,158779,148478,138005,73401,1109,534,575,33,323,341,191,189,32,17,154,176,91,79,17,16,169,165,100,110,15,163,101,62,0,29,54,45,30,5,0,14,36,33,18,0,0,15,18,12,12,5,95,46,94,46,34,24774879910,1087815,17244350325,7530529585,766896,320919,11873660950,493793,10409456159,533054,331,1,0,0,0,38.5,8.9
242972,121531,121440,11327,29841,53158,62017,59943,26684,2125,1104,1021,75,328,661,519,495,47,49,175,364,260,236,20,26,153,297,259,259,27,454,225,229,0,50,112,150,107,35,0,18,58,73,49,27,0,32,54,77,58,8,102,48,94,46,25,8410365318,508170,6101708287,2308657031,361680,146490,3860049177,260736,3930160266,226148,194,1,0,0,0,38.5,8.9
266870,143154,123717,8834,32415,67886,68058,63760,25913,2508,1308,1200,14,366,977,564,564,23,7,202,528,282,282,7,7,164,449,282,282,16,238,210,28,0,7,27,60,93,51,0,3,21,49,86,51,0,4,6,11,7,0,100,39,94,46,2,931354187,54310,662541446,268812741,38824,15486,529166262,30967,296281894,20420,66,0,1,0,0,38.5,8.9
142057,70577,71480,9231,18644,29065,34126,34171,16821,542,284,258,8,76,203,124,124,7,4,42,111,62,62,3,4,34,92,62,62,4,126,65,61,1,15,25,33,40,12,1,6,9,17,22,10,0,9,16,16,18,2,103,47,94,46,21,10607841179,475597,7415720415,3192120764,333040,142557,4070870590,190395,5713254283,263060,207,1,0,0,0,38.5,8.9
135267,71662,63606,2793,22478,37678,30781,26889,14647,498,273,225,55,58,65,94,112,114,30,32,37,52,63,59,25,26,28,42,49,55,59,40,19,0,3,19,13,18,6,0,3,11,9,14,3,0,0,8,4,4,3,109,43,94,46,30,11456242960,444775,8373374045,3082868915,330442,114333,4110098884,169874,6521978078,247239,130,0,1,0,0,34.8,13.1
919388,501061,418324,20382,157674,225624,205415,190619,119671,325,185,140,20,38,41,73,88,65,10,22,25,43,53,32,10,16,16,30,35,33,820,499,321,3,142,223,184,163,105,2,73,130,118,99,77,1,69,93,66,64,28,95,45,94,46,21,11724242159,648130,8342315216,3381926943,470722,177408,5777123298,340669,4284398353,267329,356,0,1,0,0,34.8,13.1
599778,374278,225500,4250,84778,182076,176021,103899,48756,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,27317,12857,14460,118,5536,9677,7529,3128,1329,38,1672,4134,4260,2020,733,80,3864,5543,3269,1108,596,117,57,94,46,53,41055847775,1629617,36432600237,4623247538,1433586,196031,15055737001,719288,10412913915,564562,398,1,0,0,0,273.7,5.7
3573720,1903290,1670431,82354,689353,1023802,872441,581999,323773,36,12,24,0,2,6,8,14,6,0,1,2,4,4,1,0,1,4,4,10,5,17364,8956,8408,90,3281,5742,4847,2695,709,29,1088,2357,2998,1992,492,61,2193,3385,1849,703,217,131,50,94,46,142,2.60E+11,9790712,1.73E+11,86831655860,6697785,3092927,78174719137,3061306,1.46E+11,5889865,2323,1,0,0,0,273.7,5.7
46589,27336,19252,634,7000,12926,13257,9074,3696,964,353,611,0,55,171,244,317,177,0,25,49,122,122,35,0,30,122,122,195,142,2828,1335,1493,10,590,853,707,451,217,0,171,468,350,208,138,10,419,385,357,243,79,100,46,94,46,4,2887040670,156199,2026509850,860530820,113078,43121,1183781537,67890,1096992803,70787,67,0,1,0,0,273.7,5.7
203568,121449,82120,3091,32188,57013,54216,36790,20270,91,32,59,0,2,16,28,34,11,0,1,2,14,14,1,0,1,14,14,20,10,34339,17638,16701,274,6780,12109,10175,4122,879,91,2098,5678,6212,2941,618,183,4682,6431,3963,1181,261,152,55,94,46,27,9491829320,405145,7539690041,1952139279,305939,99206,3258092006,167441,3378614205,183508,159,1,0,0,0,273.7,5.7
532683,298325,234357,12127,88363,149019,135968,94686,52521,423,153,270,1,31,69,90,144,88,1,14,24,45,44,25,0,17,45,45,100,63,2870,1326,1544,6,657,1359,566,188,94,3,165,616,350,121,71,3,492,743,216,67,23,101,47,94,46,19,12726965128,666925,10257429945,2469535183,560826,106099,4944234453,271720,4979550043,319248,275,1,0,0,0,273.7,5.7
250818,121567,129251,23234,36558,48348,63744,50633,28302,1106,536,570,305,145,142,254,172,88,154,70,63,117,90,42,151,75,79,137,82,46,246,127,119,4,35,58,73,50,26,1,16,36,35,24,15,3,19,22,38,26,11,80,47,94,46,8,10280442714,275885,7121927154,3158515560,183021,92864,5087119049,143919,3834697025,107247,101,0,0,1,0,30.5,3.2
572788,271395,301394,57560,99834,110137,136547,109589,59125,3267,1578,1689,873,460,443,786,520,185,444,226,199,345,272,92,429,234,244,441,248,93,409,169,240,3,63,92,110,105,36,1,13,45,38,42,30,2,50,47,72,63,6,85,40,94,46,15,17924067720,540481,13026073953,4897993767,388173,152308,6922664318,217247,9489511717,291234,309,0,0,0,1,30.5,3.2
210666,107429,103238,14765,20876,44378,53822,48590,28233,685,339,346,90,132,146,148,146,23,49,66,73,68,72,11,41,66,73,80,74,12,173,84,89,0,27,52,53,35,6,0,10,25,26,17,6,0,17,27,27,18,0,102,50,94,46,24,8529227508,422123,6352861994,2176365514,310283,111840,3942567298,197521,3591417812,192338,183,1,0,0,0,30.5,3.2
142674,64162,78513,12470,18390,33904,34470,29269,14173,3795,1893,1902,526,728,816,794,784,147,291,364,408,374,387,69,235,364,408,420,397,78,246,73,173,1,33,69,73,53,17,1,3,17,26,16,10,0,30,52,47,37,7,74,51,94,46,1,611247205,44823,442735247,168511958,30575,14248,271725692,24141,311317680,19234,45,0,0,1,0,30.5,3.2
32064,19198,12866,496,3476,8872,10257,7321,1642,1181,589,592,162,232,250,246,246,45,87,116,125,116,123,22,75,116,125,130,123,23,246,165,81,1,39,108,53,37,8,0,18,78,39,23,7,1,21,30,14,14,1,92,38,94,46,4,459075124,37181,316580672,142494452,26888,10293,276121831,24314,117701597,9796,14,0,0,0,1,30.5,3.2
189859,91355,98505,13082,24953,40296,44634,43480,23412,1051,526,525,119,207,218,208,219,80,73,104,113,100,105,31,46,103,105,108,114,49,591,258,333,3,101,137,176,125,49,0,30,61,79,58,30,3,71,76,97,67,19,104,43,94,46,44,18209712648,921310,13301231979,4908480669,666488,254822,7143503393,402722,9429156537,469537,285,0,1,0,0,30.5,3.2
123125,58604,64520,8908,17440,26613,28509,27579,14076,2528,1266,1262,241,540,553,544,556,94,152,270,279,270,274,21,89,270,274,274,282,73,450,197,253,0,2,23,35,92,298,0,1,8,17,26,145,0,1,15,18,66,153,80,40,94,46,1,874542913,30060,706605966,167936947,22218,7842,310963560,12668,444311960,15259,69,0,0,0,1,30.5,3.2
208722,96230,112494,22485,28528,42047,51429,43610,20624,2290,1149,1141,397,419,417,500,442,115,223,215,208,238,220,45,174,204,209,262,222,70,90,34,56,0,20,21,27,18,4,0,3,9,9,10,3,0,17,12,18,8,1,83,51,94,46,10,5164803790,178909,3774133991,1390669799,122173,56736,1943346612,78638,2923982152,92376,131,0,0,1,0,30.5,3.2
240284,121048,119235,17677,28679,46641,57226,55013,35045,1887,954,933,446,323,312,423,350,33,242,169,153,200,176,14,204,154,159,223,174,19,202,109,93,1,11,21,51,81,37,0,3,9,34,40,23,1,8,12,17,41,14,94,41,94,46,4,3678669911,93990,2608343012,1070326899,64806,29184,1647724583,47856,1688178614,40462,93,0,0,0,1,30.5,3.2
162368,75896,86471,17112,21786,31928,39190,34576,17771,2298,1160,1138,414,421,420,515,448,80,238,216,208,244,224,30,176,205,212,271,224,50,575,399,176,1,53,119,142,198,62,1,25,73,88,162,50,0,28,46,54,36,12,90,41,94,46,5,4202684800,188478,3189222661,1013462139,135252,53226,1822187763,93186,2090180042,87526,138,0,0,0,1,30.5,3.2
394603,192989,201615,34935,48856,74451,94174,88897,53291,4434,2226,2208,1030,761,752,1005,831,55,550,393,367,471,421,24,480,368,385,534,410,31,207,76,131,2,22,39,43,62,39,2,6,17,17,20,14,0,16,22,26,42,25,87,40,94,46,5,4026254213,197099,2785934854,1240319359,133758,63341,1989791670,116500,1790672683,73736,178,0,0,0,1,30.5,3.2
256763,115399,141363,30495,33791,48482,67102,52381,24514,2240,1125,1115,568,360,351,507,392,62,311,187,173,228,200,26,257,173,178,279,192,36,103,54,49,0,3,17,22,27,34,0,1,7,7,13,26,0,2,10,15,14,8,78,39,94,46,3,1500843232,84057,1276015396,224827836,69034,15023,587183623,37698,864461737,45039,46,0,0,0,1,30.5,3.2
117601,59633,57967,2902,19581,28284,26072,26059,14707,2088,1013,1075,6,668,900,172,287,55,4,290,525,118,62,14,2,378,375,54,225,41,251,141,110,0,36,58,86,54,17,0,12,38,55,22,14,0,24,20,31,32,3,83,38,94,46,1,1491456233,121046,1033810414,457645819,77437,43609,846788863,71449,548398283,45674,54,0,0,0,1,53.6,0.8
415320,214053,201265,11740,74049,99145,88424,88610,53352,2367,1136,1231,22,741,992,202,332,78,12,313,576,140,70,25,10,428,416,62,262,53,1613,705,908,18,461,400,362,242,130,4,94,177,204,133,93,14,367,223,158,109,37,88,46,94,46,16,11427490983,619627,8564982585,2862508398,446293,173334,5143806769,301609,5154753347,283869,265,0,0,0,1,53.6,0.8
81317,39578,41738,3456,11623,19771,18485,17229,10761,1805,910,895,15,532,806,159,230,63,9,239,484,94,67,17,6,293,322,65,163,46,160,112,48,0,2,33,74,39,12,0,0,20,54,28,10,0,2,13,20,11,2,107,47,94,46,1,750247928,72849,526412812,223835116,48358,24491,429499680,46624,291499373,25238,43,1,0,0,0,53.6,0.8
188738,97288,91448,6165,30855,44429,42021,40953,24313,828,387,441,0,268,359,68,122,11,0,109,207,52,18,1,0,159,152,16,104,10,327,221,106,0,29,102,126,45,25,0,7,62,93,36,23,0,22,40,33,9,2,84,40,94,46,8,4075245769,111751,3046125417,1029120352,83359,28392,1644125502,51574,1924643351,47453,120,0,0,0,1,53.6,0.8
379235,196990,182249,10959,64991,89657,82207,82071,49351,573,279,294,0,185,245,50,78,15,0,80,145,31,20,3,0,105,100,19,58,12,413,201,212,6,79,94,91,75,68,2,30,43,52,36,38,4,49,51,39,39,30,97,44,94,46,32,26814276574,1090146,19733994566,7080282008,800390,289756,12456308509,496535,10463688360,509413,323,0,1,0,0,53.6,0.8
285028,143918,141110,11256,43432,67545,64786,59954,38058,1313,653,660,9,433,592,93,154,32,5,190,354,63,32,9,4,243,238,30,122,23,1329,741,588,7,259,414,375,187,87,4,62,230,262,122,61,3,197,184,113,65,26,96,41,94,46,9,10908425788,388622,7548518835,3359906953,268440,120182,4992183301,200879,4791904640,160111,117,0,1,0,0,53.6,0.8
198958,97505,101451,5838,36988,50241,40546,40667,24679,1434,678,756,151,350,390,171,212,160,76,157,199,86,84,76,75,193,191,85,128,84,233,80,153,0,37,61,60,53,22,0,7,18,22,19,14,0,30,43,38,34,8,88,47,94,46,1,3461543298,237767,2434485776,1027057522,163317,74450,1422795162,108270,1748844814,116742,65,0,0,1,0,53.6,0.8
431691,217264,214428,17307,74309,108651,89740,85922,55760,1007,451,556,81,280,320,92,149,85,40,120,161,49,42,39,41,160,159,43,107,46,600,353,247,0,50,107,121,173,149,0,15,64,78,105,91,0,35,43,43,68,58,97,51,94,46,13,6324641978,400760,4632539138,1692102840,287823,112937,2970390811,199200,2543154730,181816,85,1,0,0,0,53.6,0.8
272072,141340,130733,8497,42509,64317,61807,59228,35717,3210,1551,1659,215,712,740,630,716,197,119,355,362,270,356,89,96,357,378,360,360,108,2049,1471,578,93,522,523,422,256,233,52,330,408,293,178,210,41,192,115,129,78,23,74,45,94,46,2,2230460423,115352,1837013844,393446579,85096,30256,911265727,54647,1020288921,51108,80,0,0,0,1,53.6,0.8
